CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg26546113,1,182810711,DHX9,5'UTR,0.70,0.094,-0.0022,2.9E-13,-0.0016,4.8E-09,-0.0015,1.8E-06,9.8E-10,1.3E-05,1.0E-03,,yes,yes
cg25513776,6,2751204,MYLK4,TSS200,0.56,0.064,-0.0015,3.0E-13,-0.0011,2.1E-08,-0.0010,2.0E-06,1.0E-09,4.1E-05,1.1E-03,,yes,yes
cg07175797,16,50317656,,,0.52,0.040,-0.0011,3.1E-13,-0.0008,4.3E-10,-0.0009,2.3E-08,1.0E-09,2.3E-06,4.5E-05,,yes,yes
cg27637303,2,118942893,,,0.72,0.074,-0.0024,3.4E-13,-0.0016,2.3E-07,-0.0021,4.5E-10,1.1E-09,2.5E-04,2.2E-06,,yes,yes
cg03732014,21,30676184,BACH1,5'UTR,0.53,0.082,-0.0014,3.5E-13,-0.0011,1.4E-09,-0.0008,5.5E-05,1.2E-09,5.3E-06,1.0E-02,,yes,yes
cg14184886,19,46386226,,,0.60,0.067,-0.0017,3.5E-13,-0.0014,1.6E-10,-0.0017,2.6E-11,1.2E-09,1.0E-06,2.1E-07,,yes,yes
cg14014731,9,19378679,RPS6,Body,0.33,0.080,-0.0027,4.0E-13,-0.0016,2.4E-06,-0.0021,3.5E-08,1.3E-09,1.3E-03,6.0E-05,,yes,yes
cg14333454,1,27189298,SFN,TSS1500,0.64,0.056,-0.0016,4.0E-13,-0.0011,1.6E-07,-0.0015,5.8E-10,1.3E-09,1.9E-04,2.6E-06,,yes,yes
cg08647039,19,13120987,NFIX,Body,0.42,0.056,-0.0015,4.0E-13,-0.0011,1.5E-08,-0.0014,2.7E-10,1.3E-09,3.3E-05,1.5E-06,,yes,yes
cg02810967,4,17813558,NCAPG,Body,0.53,0.080,-0.0020,4.1E-13,-0.0012,2.1E-06,-0.0017,3.1E-09,1.3E-09,1.2E-03,1.0E-05,,yes,yes
cg00622166,16,46919021,GPT2,Body,0.44,0.059,-0.0014,4.2E-13,-0.0009,3.5E-07,-0.0010,2.4E-07,1.3E-09,3.4E-04,2.4E-04,no,yes,yes
cg14741228,12,31476479,FAM60A,5'UTR,0.14,0.040,-0.0024,4.3E-13,-0.0016,1.8E-07,-0.0020,4.5E-09,1.4E-09,2.1E-04,1.3E-05,no,yes,yes
cg09906145,16,67562424,FAM65A,TSS1500,0.51,0.041,-0.0009,4.4E-13,-0.0008,4.0E-11,-0.0008,5.1E-09,1.4E-09,2.9E-07,1.4E-05,no,yes,yes
cg18033416,17,30592033,RHBDL3,TSS1500,0.66,0.058,-0.0017,4.7E-13,-0.0011,8.5E-08,-0.0014,1.3E-08,1.5E-09,1.2E-04,2.9E-05,,yes,yes
cg09737197,11,68607675,CPT1A,5'UTR,0.17,0.073,-0.0030,5.2E-13,-0.0025,3.7E-11,-0.0030,1.7E-12,1.6E-09,2.8E-07,2.5E-08,no,yes,yes
cg11701312,19,58897497,RPS5,TSS1500,0.60,0.047,-0.0013,5.3E-13,-0.0010,3.5E-09,-0.0011,8.3E-09,1.6E-09,1.0E-05,2.1E-05,,yes,yes
cg18125510,14,100841768,WARS,1stExon,0.17,0.058,-0.0026,5.3E-13,-0.0016,1.4E-06,-0.0015,6.9E-05,1.6E-09,8.8E-04,1.2E-02,no,yes,yes
cg04191300,11,128729652,KCNJ1,5'UTR,0.79,0.060,-0.0023,5.3E-13,-0.0019,1.2E-10,-0.0018,4.4E-08,1.6E-09,7.8E-07,7.0E-05,,yes,yes
cg19473623,7,7224869,C1GALT1,5'UTR,0.53,0.067,-0.0015,5.4E-13,-0.0011,2.7E-08,-0.0010,9.1E-06,1.6E-09,5.0E-05,3.2E-03,,yes,yes
cg16925459,7,18548581,HDAC9,Body,0.46,0.074,-0.0021,5.8E-13,-0.0016,1.8E-09,-0.0017,1.9E-08,1.7E-09,6.3E-06,3.8E-05,,yes,yes
cg05721773,1,207083336,FAIM3,Body,0.54,0.060,-0.0010,6.4E-13,-0.0007,2.0E-08,-0.0007,3.8E-06,1.9E-09,4.0E-05,1.7E-03,no,yes,yes
cg10005565,2,235578952,,,0.82,0.040,-0.0018,6.6E-13,-0.0014,9.0E-10,-0.0015,1.1E-09,1.9E-09,3.9E-06,4.3E-06,,yes,yes
cg07856667,10,94455710,,,0.92,0.046,-0.0044,6.8E-13,-0.0034,2.0E-09,-0.0036,2.4E-08,2.0E-09,6.7E-06,4.6E-05,,yes,yes
cg20520115,2,75063838,HK2,Body,0.66,0.049,-0.0014,7.6E-13,-0.0010,1.2E-07,-0.0010,2.0E-06,2.2E-09,1.6E-04,1.1E-03,,yes,yes
cg02806322,3,32446568,CMTM7,Body,0.78,0.047,-0.0018,7.7E-13,-0.0012,2.5E-07,-0.0012,1.2E-06,2.2E-09,2.7E-04,7.3E-04,,yes,yes
cg12340144,3,38388808,XYLB,Body,0.34,0.062,-0.0018,8.0E-13,-0.0012,1.7E-07,-0.0012,6.2E-06,2.3E-09,2.0E-04,2.5E-03,,yes,yes
cg11613559,10,121577971,INPP5F,Body,0.80,0.062,-0.0028,8.0E-13,-0.0021,4.6E-09,-0.0025,5.4E-10,2.3E-09,1.3E-05,2.4E-06,,yes,yes
cg13526915,14,24164078,,,0.71,0.067,-0.0021,8.3E-13,-0.0015,1.2E-08,-0.0013,1.4E-05,2.3E-09,2.8E-05,4.2E-03,,yes,yes
cg27021512,13,47371635,ESD,TSS1500,0.30,0.059,-0.0020,8.3E-13,-0.0013,5.2E-07,-0.0012,2.1E-05,2.3E-09,4.4E-04,5.4E-03,,yes,yes
cg07313882,17,76121348,TMC6,Body,0.33,0.053,-0.0015,9.1E-13,-0.0008,8.3E-05,-0.0011,8.9E-07,2.5E-09,1.5E-02,6.0E-04,,yes,yes
cg09257526,1,154379696,IL6R,Body,0.31,0.054,-0.0009,9.6E-13,-0.0005,2.4E-05,-0.0006,3.1E-05,2.7E-09,6.4E-03,7.1E-03,no,yes,yes
cg03337218,10,25189866,PRTFDC1,Body,0.61,0.094,-0.0019,1.1E-12,-0.0011,9.5E-06,-0.0014,6.5E-07,3.2E-09,3.3E-03,4.8E-04,,yes,yes
cg20494841,22,50984597,,,0.72,0.049,-0.0016,1.2E-12,-0.0013,8.4E-10,-0.0010,2.3E-05,3.2E-09,3.8E-06,5.8E-03,,yes,yes
cg03507326,16,2801952,LOC100128788,Body,0.67,0.097,-0.0025,1.2E-12,-0.0019,8.6E-09,-0.0025,1.4E-11,3.3E-09,2.1E-05,1.2E-07,,yes,yes
cg02812767,15,74218468,LOXL1,TSS1500,0.71,0.066,-0.0022,1.2E-12,-0.0014,2.7E-07,-0.0017,5.6E-08,3.3E-09,2.8E-04,8.1E-05,,yes,yes
cg06372223,16,87899784,SLC7A5,Body,0.60,0.047,-0.0012,1.3E-12,-0.0009,2.9E-09,-0.0009,9.7E-08,3.6E-09,9.0E-06,1.2E-04,,yes,yes
cg19534753,3,123340306,MYLK,TSS1500,0.88,0.035,-0.0020,1.3E-12,-0.0016,2.6E-10,-0.0017,7.4E-09,3.6E-09,1.6E-06,1.9E-05,no,yes,yes
cg04118190,2,96812528,DUSP2,TSS1500,0.47,0.054,-0.0012,1.5E-12,-0.0009,8.3E-09,-0.0011,2.4E-09,3.9E-09,2.1E-05,8.1E-06,,yes,yes
cg09635954,7,29605624,PRR15,5'UTR,0.64,0.080,-0.0025,1.5E-12,-0.0022,3.5E-11,-0.0025,1.5E-11,3.9E-09,2.7E-07,1.3E-07,,yes,yes
cg12807764,5,146864669,,,0.68,0.079,-0.0020,1.7E-12,-0.0015,4.0E-09,-0.0013,1.0E-05,4.5E-09,1.2E-05,3.5E-03,no,yes,yes
cg24332710,1,46016173,AKR1A1,TSS1500,0.45,0.071,-0.0014,1.7E-12,-0.0012,7.5E-10,-0.0011,1.2E-07,4.6E-09,3.4E-06,1.4E-04,,yes,yes
cg15880704,10,112546110,RBM20,Body,0.47,0.037,-0.0010,1.8E-12,-0.0009,4.0E-11,-0.0010,1.0E-11,4.6E-09,2.9E-07,9.7E-08,,yes,yes
cg04561005,17,25872931,KSR1,5'UTR,0.71,0.065,-0.0014,1.8E-12,-0.0011,2.6E-09,-0.0010,1.8E-06,4.6E-09,8.3E-06,9.9E-04,,yes,yes
cg19266329,1,145456128,,,0.63,0.062,-0.0016,1.8E-12,-0.0011,1.2E-07,-0.0014,5.3E-09,4.7E-09,1.6E-04,1.5E-05,no,yes,yes
cg13976502,14,74227875,C14orf43,5'UTR,0.53,0.065,-0.0016,1.9E-12,-0.0013,9.8E-10,-0.0012,2.8E-07,4.8E-09,4.1E-06,2.7E-04,,yes,yes
cg12490835,10,22623821,,,0.54,0.058,-0.0015,2.0E-12,-0.0011,3.6E-08,-0.0013,1.2E-09,5.1E-09,6.3E-05,4.9E-06,,yes,yes
cg20962215,19,54713514,,,0.51,0.058,-0.0010,2.1E-12,-0.0006,1.8E-05,-0.0006,2.4E-05,5.3E-09,5.2E-03,6.0E-03,,yes,yes
cg19202384,17,79894511,PYCR1,Body,0.74,0.044,-0.0014,2.1E-12,-0.0013,2.3E-12,-0.0011,2.4E-08,5.5E-09,3.1E-08,4.6E-05,no,yes,yes
cg02913882,3,177196501,,,0.67,0.099,-0.0019,2.2E-12,-0.0011,3.4E-06,-0.0009,1.7E-03,5.5E-09,1.6E-03,8.4E-02,,yes,yes
cg01741041,7,5567862,ACTB,Body,0.30,0.047,-0.0013,2.3E-12,-0.0009,6.6E-08,-0.0008,5.6E-05,5.8E-09,9.6E-05,1.0E-02,,yes,yes
cg09297903,8,42234798,DKK4,TSS200,0.56,0.072,-0.0016,2.5E-12,-0.0012,4.4E-09,-0.0012,9.9E-08,6.2E-09,1.2E-05,1.2E-04,,yes,yes
cg13522406,6,30581820,PPP1R10,5'UTR,0.52,0.058,-0.0013,2.6E-12,-0.0009,1.9E-07,-0.0013,7.7E-11,6.5E-09,2.2E-04,5.3E-07,,yes,yes
cg11551560,15,70528789,,,0.60,0.067,-0.0013,2.7E-12,-0.0010,1.2E-08,-0.0010,1.1E-07,6.8E-09,2.7E-05,1.3E-04,,yes,yes
cg03149958,6,36326677,,,0.84,0.054,-0.0025,2.8E-12,-0.0020,1.9E-09,-0.0020,5.2E-08,6.9E-09,6.4E-06,7.7E-05,no,yes,yes
cg03285617,6,86179345,NT5E,Body,0.50,0.055,-0.0014,2.9E-12,-0.0009,9.3E-07,-0.0011,4.3E-07,7.0E-09,6.7E-04,3.6E-04,,yes,yes
cg01972009,11,67273431,PITPNM1,TSS1500,0.23,0.047,-0.0016,3.1E-12,-0.0010,6.6E-06,-0.0008,7.9E-04,7.5E-09,2.6E-03,5.5E-02,no,yes,yes
cg26607228,10,43889109,HNRNPF,5'UTR,0.66,0.053,-0.0013,3.1E-12,-0.0008,3.4E-06,-0.0008,5.2E-05,7.6E-09,1.7E-03,1.0E-02,,yes,yes
cg01735398,17,18907305,SLC5A10,Body,0.27,0.063,-0.0021,3.3E-12,-0.0015,4.6E-08,-0.0020,4.5E-10,7.9E-09,7.5E-05,2.2E-06,no,yes,yes
cg24461171,1,197745025,DENND1B,TSS1500,0.35,0.059,-0.0012,3.3E-12,-0.0008,5.0E-07,-0.0010,7.1E-09,7.9E-09,4.3E-04,1.9E-05,,yes,yes
cg25446191,3,170077545,SKIL,5'UTR,0.86,0.040,-0.0016,3.3E-12,-0.0012,1.9E-08,-0.0011,1.5E-05,7.9E-09,3.8E-05,4.4E-03,,yes,yes
cg24135793,19,13122567,NFIX,Body,0.64,0.059,-0.0018,3.4E-12,-0.0014,1.4E-09,-0.0016,1.1E-09,8.0E-09,5.4E-06,4.5E-06,no,yes,yes
cg24679007,1,192604413,RGS13,TSS1500,0.64,0.064,-0.0013,3.5E-12,-0.0008,2.2E-06,-0.0009,2.6E-06,8.3E-09,1.2E-03,1.3E-03,,yes,yes
cg18405341,22,39918625,ATF4,3'UTR,0.56,0.055,-0.0013,3.5E-12,-0.0010,1.0E-07,-0.0009,2.9E-06,8.3E-09,1.4E-04,1.4E-03,,yes,yes
cg05603985,1,2161049,SKI,1stExon,0.30,0.037,-0.0011,3.8E-12,-0.0008,6.0E-07,-0.0007,1.0E-05,8.9E-09,4.9E-04,3.4E-03,no,yes,yes
cg11327857,4,123747558,FGF2,TSS1500,0.54,0.064,-0.0013,4.0E-12,-0.0009,4.9E-07,-0.0009,2.3E-06,9.2E-09,4.3E-04,1.2E-03,,yes,yes
cg21522988,12,29376872,FAR2,5'UTR,0.75,0.065,-0.0017,4.3E-12,-0.0011,4.1E-07,-0.0009,2.2E-04,9.9E-09,3.8E-04,2.5E-02,,yes,yes
cg22753611,6,17472892,CAP2,Body,0.84,0.056,-0.0022,4.4E-12,-0.0012,9.0E-05,-0.0014,2.5E-05,1.0E-08,1.5E-02,6.2E-03,,yes,yes
cg16450677,2,70312492,,,0.53,0.106,-0.0028,4.4E-12,-0.0020,2.2E-07,-0.0019,1.2E-05,1.0E-08,2.4E-04,3.9E-03,,yes,yes
cg19373099,2,210008092,,,0.63,0.092,-0.0024,5.0E-12,-0.0020,1.4E-09,-0.0023,6.6E-10,1.1E-08,5.3E-06,2.9E-06,,yes,yes
cg03652525,3,72149324,,,0.52,0.083,-0.0014,5.0E-12,-0.0010,2.7E-07,-0.0011,9.9E-08,1.1E-08,2.8E-04,1.2E-04,,yes,yes
cg14034325,10,43891459,HNRNPF,5'UTR,0.51,0.070,-0.0016,5.4E-12,-0.0011,2.7E-07,-0.0012,1.7E-06,1.2E-08,2.8E-04,9.5E-04,no,yes,yes
cg03533141,1,45243518,SNORD38A,Body,0.34,0.041,-0.0010,5.6E-12,-0.0006,2.9E-06,-0.0007,1.6E-05,1.3E-08,1.5E-03,4.6E-03,,yes,yes
cg20954977,2,232260116,B3GNT7,TSS1500,0.63,0.093,-0.0020,5.8E-12,-0.0015,2.5E-08,-0.0016,8.6E-08,1.3E-08,4.7E-05,1.1E-04,,yes,yes
cg03184011,20,39945503,,,0.42,0.038,-0.0009,5.8E-12,-0.0007,3.8E-08,-0.0008,8.7E-10,1.3E-08,6.5E-05,3.7E-06,no,yes,yes
cg23712594,1,226591890,PARP1,Body,0.76,0.067,-0.0019,5.9E-12,-0.0013,8.3E-08,-0.0013,6.9E-06,1.3E-08,1.2E-04,2.7E-03,no,yes,yes
cg22499893,1,24307535,SFRS13A,TSS1500,0.48,0.101,-0.0024,6.2E-12,-0.0019,1.2E-09,-0.0020,2.5E-08,1.4E-08,4.6E-06,4.7E-05,,yes,yes
cg16896539,10,70096482,HNRNPH3,5'UTR,0.43,0.082,-0.0021,6.3E-12,-0.0017,1.8E-09,-0.0017,8.6E-08,1.4E-08,6.3E-06,1.1E-04,,yes,yes
cg08984272,2,149884320,,,0.62,0.098,-0.0014,6.4E-12,-0.0011,7.3E-09,-0.0012,1.0E-07,1.4E-08,1.9E-05,1.2E-04,,yes,yes
cg14836555,14,24743391,,,0.40,0.071,-0.0018,6.5E-12,-0.0012,9.2E-07,-0.0014,3.3E-07,1.4E-08,6.6E-04,3.0E-04,,yes,yes
cg01810926,1,53663981,CPT2,Body,0.55,0.062,-0.0011,6.5E-12,-0.0008,1.0E-08,-0.0009,7.9E-08,1.4E-08,2.4E-05,1.0E-04,,yes,yes
cg27305510,11,62434716,C11orf48,Body,0.74,0.054,-0.0017,6.5E-12,-0.0012,3.9E-08,-0.0014,5.1E-08,1.4E-08,6.7E-05,7.7E-05,,yes,yes
cg05951221,2,233284402,,,0.44,0.081,-0.0018,6.7E-12,-0.0012,2.0E-06,-0.0015,1.2E-07,1.4E-08,1.1E-03,1.4E-04,no,yes,yes
cg24497361,11,3858493,RHOG,5'UTR,0.37,0.066,-0.0018,6.7E-12,-0.0014,2.7E-09,-0.0013,7.1E-07,1.4E-08,8.3E-06,5.1E-04,no,yes,yes
cg26103104,5,139490895,,,0.67,0.082,-0.0023,6.8E-12,-0.0015,7.7E-07,-0.0025,5.6E-13,1.5E-08,5.9E-04,1.0E-08,no,yes,yes
cg26480889,2,118942960,,,0.33,0.063,-0.0017,6.9E-12,-0.0013,4.4E-08,-0.0015,1.5E-08,1.5E-08,7.3E-05,3.2E-05,,yes,yes
cg01020987,1,3816166,C1orf174,Body,0.28,0.061,-0.0020,7.1E-12,-0.0012,1.1E-05,-0.0010,7.6E-04,1.5E-08,3.7E-03,5.3E-02,,yes,yes
cg25720264,12,19389751,PLEKHA5,5'UTR,0.55,0.073,-0.0013,7.6E-12,-0.0008,1.7E-06,-0.0007,2.1E-04,1.6E-08,1.0E-03,2.4E-02,,yes,yes
cg13446906,13,36051073,MIR548F5,Body,0.26,0.069,-0.0026,7.6E-12,-0.0016,7.4E-06,-0.0023,7.8E-09,1.6E-08,2.8E-03,2.0E-05,,yes,yes
cg00008671,10,86087961,FAM190B,TSS1500,0.34,0.068,-0.0017,7.7E-12,-0.0012,3.7E-07,-0.0012,1.3E-06,1.6E-08,3.5E-04,8.0E-04,,yes,yes
cg16505233,3,5239311,EDEM1,Body,0.06,0.024,-0.0030,7.7E-12,-0.0020,1.1E-06,-0.0023,3.1E-07,1.6E-08,7.5E-04,2.8E-04,no,yes,yes
cg11724055,1,23667475,HNRNPR,Body,0.50,0.063,-0.0017,8.2E-12,-0.0012,5.6E-07,-0.0012,7.1E-06,1.7E-08,4.7E-04,2.7E-03,,yes,yes
cg22023664,19,2619608,GNG7,5'UTR,0.60,0.066,-0.0011,8.3E-12,-0.0009,6.0E-10,-0.0008,4.0E-07,1.7E-08,2.9E-06,3.4E-04,,yes,yes
cg08496737,11,62573844,NXF1,TSS1500,0.56,0.053,-0.0013,8.4E-12,-0.0008,2.1E-05,-0.0010,2.5E-07,1.7E-08,5.8E-03,2.4E-04,,yes,yes
cg00718036,4,108745325,SGMS2,TSS1500,0.82,0.040,-0.0016,8.7E-12,-0.0011,2.7E-06,-0.0012,4.6E-06,1.8E-08,1.4E-03,2.0E-03,,yes,yes
cg12501995,7,142333497,,,0.85,0.036,-0.0018,8.8E-12,-0.0013,7.9E-08,-0.0012,1.8E-05,1.8E-08,1.1E-04,4.9E-03,,yes,yes
cg02661372,1,181056912,IER5,TSS1500,0.44,0.074,-0.0015,9.0E-12,-0.0012,6.4E-09,-0.0012,1.6E-07,1.8E-08,1.7E-05,1.8E-04,,yes,yes
cg06799321,16,66995143,CES3,1stExon,0.33,0.053,-0.0016,9.0E-12,-0.0012,5.7E-08,-0.0009,1.3E-04,1.8E-08,8.7E-05,1.8E-02,no,yes,yes
cg06974428,10,22972299,PIP4K2A,Body,0.53,0.091,-0.0017,9.1E-12,-0.0012,8.0E-07,-0.0014,5.5E-08,1.8E-08,6.0E-04,8.0E-05,,yes,yes
cg00326958,10,43892075,HNRNPF,5'UTR,0.12,0.041,-0.0025,9.1E-12,-0.0015,1.7E-05,-0.0016,2.2E-05,1.8E-08,4.9E-03,5.7E-03,no,yes,yes
cg23214435,5,157003983,ADAM19,TSS1500,0.56,0.113,-0.0015,9.4E-12,-0.0009,5.3E-06,-0.0007,8.1E-04,1.9E-08,2.2E-03,5.6E-02,,yes,yes
cg14987431,10,94455650,,,0.95,0.028,-0.0039,9.5E-12,-0.0032,1.1E-09,-0.0033,4.7E-08,1.9E-08,4.4E-06,7.4E-05,,yes,yes
cg00423486,1,8491132,RERE,Body,0.45,0.056,-0.0010,9.5E-12,-0.0007,4.3E-07,-0.0007,1.2E-05,1.9E-08,3.9E-04,3.9E-03,,yes,yes
cg16705273,18,42262885,SETBP1,5'UTR,0.70,0.061,-0.0018,1.0E-11,-0.0014,3.8E-09,-0.0016,2.4E-09,2.0E-08,1.1E-05,8.1E-06,no,yes,yes
cg10361922,17,40925790,VPS25,Body,0.15,0.038,-0.0018,1.0E-11,-0.0012,4.0E-06,-0.0016,6.7E-09,2.0E-08,1.8E-03,1.8E-05,,yes,yes
cg06534313,16,16405520,,,0.49,0.048,-0.0006,1.1E-11,-0.0004,4.6E-08,-0.0003,3.0E-04,2.1E-08,7.5E-05,3.0E-02,,yes,yes
cg14628343,8,58788163,,,0.37,0.071,-0.0016,1.1E-11,-0.0012,7.1E-08,-0.0013,4.9E-08,2.1E-08,1.0E-04,7.5E-05,,yes,yes
cg14868222,6,31548340,LTB,3'UTR,0.43,0.048,-0.0012,1.1E-11,-0.0010,1.1E-09,-0.0011,3.0E-09,2.2E-08,4.6E-06,9.8E-06,,yes,yes
cg15965301,17,75105832,,,0.81,0.067,-0.0028,1.2E-11,-0.0021,3.9E-08,-0.0021,7.0E-07,2.3E-08,6.7E-05,5.1E-04,,yes,yes
cg01993576,6,44187674,SLC29A1,5'UTR,0.46,0.055,-0.0012,1.2E-11,-0.0008,2.6E-06,-0.0008,2.0E-05,2.3E-08,1.4E-03,5.4E-03,,yes,yes
cg10692140,6,30496072,,,0.35,0.053,-0.0014,1.3E-11,-0.0009,7.5E-07,-0.0011,5.6E-07,2.4E-08,5.8E-04,4.3E-04,,yes,yes
cg04370442,16,58019866,TEPP,Body,0.93,0.044,-0.0045,1.3E-11,-0.0037,1.5E-09,-0.0036,1.7E-07,2.4E-08,5.7E-06,1.8E-04,,yes,yes
cg04172771,8,50892702,SNTG1,5'UTR,0.80,0.060,-0.0019,1.3E-11,-0.0017,1.9E-10,-0.0013,2.1E-05,2.5E-08,1.2E-06,5.5E-03,no,yes,yes
cg23831876,2,65225988,SLC1A4,Body,0.89,0.031,-0.0018,1.3E-11,-0.0014,8.3E-09,-0.0011,2.4E-05,2.5E-08,2.1E-05,6.0E-03,,yes,yes
cg01567051,16,81512025,CMIP,Body,0.76,0.048,-0.0013,1.4E-11,-0.0010,6.7E-09,-0.0006,1.8E-03,2.6E-08,1.8E-05,8.9E-02,,yes,yes
cg02459569,1,150944634,LASS2,5'UTR,0.64,0.077,-0.0012,1.5E-11,-0.0010,9.0E-10,-0.0010,3.8E-07,2.7E-08,3.9E-06,3.2E-04,,yes,yes
cg23371208,11,57408514,MIR130A,TSS200,0.61,0.048,-0.0010,1.5E-11,-0.0008,6.4E-09,-0.0008,4.3E-07,2.7E-08,1.7E-05,3.6E-04,,yes,yes
cg18451588,7,29606289,PRR15,Body,0.26,0.126,-0.0044,1.5E-11,-0.0028,4.7E-06,-0.0038,2.6E-08,2.7E-08,2.0E-03,4.9E-05,,yes,yes
cg16100392,6,132931717,TAAR3,TSS1500,0.59,0.099,-0.0017,1.5E-11,-0.0013,4.8E-08,-0.0016,3.5E-09,2.8E-08,7.7E-05,1.1E-05,,yes,yes
cg05008975,11,118022317,SCN4B,Body,0.74,0.039,-0.0011,1.5E-11,-0.0007,6.4E-06,-0.0005,2.6E-03,2.8E-08,2.6E-03,1.1E-01,,yes,yes
cg04474366,3,186505347,SNORA4,TSS200,0.66,0.080,-0.0017,1.5E-11,-0.0012,2.8E-07,-0.0013,2.3E-07,2.8E-08,2.9E-04,2.3E-04,,yes,yes
cg04622454,9,140349128,NELF,Body,0.60,0.058,-0.0010,1.6E-11,-0.0008,4.5E-09,-0.0010,8.7E-11,2.9E-08,1.3E-05,5.9E-07,,yes,yes
cg11681597,1,249116587,SH3BP5L,Body,0.49,0.087,-0.0010,1.6E-11,-0.0007,9.5E-08,-0.0008,5.2E-08,3.0E-08,1.3E-04,7.8E-05,,yes,yes
cg26588061,10,12086036,UPF2,TSS1500,0.47,0.093,-0.0018,1.7E-11,-0.0011,4.1E-06,-0.0011,9.3E-05,3.2E-08,1.9E-03,1.4E-02,,yes,yes
cg20699548,8,71060638,NCOA2,Body,0.46,0.067,-0.0013,1.7E-11,-0.0009,6.0E-07,-0.0012,9.8E-09,3.2E-08,4.9E-04,2.4E-05,,yes,yes
cg08754067,5,40833236,SNORD72,TSS1500,0.35,0.057,-0.0014,1.8E-11,-0.0007,1.5E-04,-0.0011,7.0E-07,3.2E-08,2.1E-02,5.1E-04,,yes,yes
cg17710804,1,36771844,C1orf113,TSS1500,0.46,0.054,-0.0014,1.8E-11,-0.0011,4.2E-09,-0.0010,1.1E-06,3.2E-08,1.2E-05,7.1E-04,,yes,yes
cg06366374,6,6543659,LOC285780,Body,0.44,0.067,-0.0011,1.9E-11,-0.0008,2.7E-07,-0.0009,1.2E-07,3.4E-08,2.8E-04,1.4E-04,,yes,yes
cg08301612,17,43228571,HEXIM1,1stExon,0.36,0.066,-0.0017,1.9E-11,-0.0012,4.5E-07,-0.0015,1.2E-08,3.4E-08,4.0E-04,2.8E-05,,yes,yes
cg27180443,12,125348871,SCARB1,TSS1500,0.63,0.040,-0.0010,2.0E-11,-0.0007,1.2E-06,-0.0007,8.9E-06,3.6E-08,7.9E-04,3.1E-03,no,yes,yes
cg06720467,1,27189440,SFN,TSS200,0.52,0.046,-0.0011,2.0E-11,-0.0008,3.4E-07,-0.0011,1.2E-09,3.6E-08,3.3E-04,4.9E-06,,yes,yes
cg26531804,15,41135847,SPINT1,TSS1500,0.48,0.057,-0.0011,2.1E-11,-0.0007,1.1E-06,-0.0007,3.2E-05,3.7E-08,7.6E-04,7.3E-03,,yes,yes
cg00639656,17,27050360,SNORD42A,TSS200,0.62,0.042,-0.0010,2.2E-11,-0.0008,1.5E-08,-0.0009,1.4E-09,3.8E-08,3.3E-05,5.3E-06,,yes,yes
cg24754633,14,91831327,CCDC88C,Body,0.47,0.056,-0.0011,2.2E-11,-0.0007,3.3E-06,-0.0006,1.3E-03,3.8E-08,1.6E-03,7.2E-02,no,yes,yes
cg25420507,19,39261921,LGALS7,Body,0.22,0.047,-0.0018,2.2E-11,-0.0011,1.8E-05,-0.0015,3.3E-07,3.8E-08,5.2E-03,3.0E-04,,yes,yes
cg07525202,17,30591850,RHBDL3,TSS1500,0.79,0.052,-0.0020,2.3E-11,-0.0012,8.4E-06,-0.0015,3.9E-07,4.0E-08,3.1E-03,3.4E-04,,yes,yes
cg12934382,3,51741135,GRM2,1stExon,0.49,0.081,-0.0020,2.3E-11,-0.0017,1.3E-09,-0.0023,8.0E-13,4.0E-08,5.0E-06,1.4E-08,,yes,yes
cg17585031,17,25798942,KSR1,TSS200,0.54,0.061,-0.0008,2.6E-11,-0.0006,4.9E-08,-0.0005,5.9E-05,4.4E-08,7.8E-05,1.1E-02,,yes,yes
cg10973762,15,48625931,DUT,Body,0.41,0.077,-0.0018,2.6E-11,-0.0011,7.6E-06,-0.0011,1.0E-04,4.5E-08,2.9E-03,1.5E-02,,yes,yes
cg16179607,2,68476020,PPP3R1,Body,0.81,0.046,-0.0017,2.6E-11,-0.0013,4.0E-08,-0.0013,5.6E-07,4.5E-08,6.8E-05,4.3E-04,,yes,yes
cg22455082,4,39702470,UBE2K,Body,0.54,0.058,-0.0012,2.7E-11,-0.0007,1.0E-04,-0.0009,7.1E-06,4.6E-08,1.7E-02,2.7E-03,,yes,yes
cg01594949,9,140197890,NRARP,TSS1500,0.66,0.065,-0.0016,2.7E-11,-0.0012,1.9E-08,-0.0010,2.5E-05,4.7E-08,3.8E-05,6.1E-03,,yes,yes
cg21949194,2,39355435,,,0.39,0.095,-0.0018,2.8E-11,-0.0012,1.2E-06,-0.0016,6.0E-09,4.7E-08,8.1E-04,1.6E-05,,yes,yes
cg21950166,1,27189349,SFN,TSS1500,0.62,0.060,-0.0016,2.8E-11,-0.0012,8.2E-08,-0.0015,2.1E-09,4.8E-08,1.2E-04,7.4E-06,,yes,yes
cg25814096,17,73782472,UNK,Body,0.70,0.056,-0.0014,3.0E-11,-0.0009,4.6E-06,-0.0012,1.4E-07,5.1E-08,2.0E-03,1.5E-04,,yes,yes
cg26847866,8,27492077,SCARA3,Body,0.52,0.056,-0.0010,3.1E-11,-0.0006,7.1E-06,-0.0008,2.5E-07,5.2E-08,2.7E-03,2.5E-04,,yes,yes
